points,value,error
50, 0.6600, 0.1365
51, 0.4902, -0.0333
52, 0.6346, 0.1111
53, 0.3962, -0.1273
54, 0.5185, -0.0050
55, 0.5273, 0.0038
56, 0.5714, 0.0479
57, 0.4912, -0.0323
58, 0.5862, 0.0627
59, 0.4915, -0.0320
60, 0.5333, 0.0098
61, 0.4262, -0.0973
62, 0.5645, 0.0410
63, 0.5714, 0.0479
64, 0.4688, -0.0547
65, 0.5231, -0.0004
66, 0.4545, -0.0690
67, 0.4179, -0.1056
68, 0.4706, -0.0529
69, 0.5942, 0.0707
70, 0.5714, 0.0479
71, 0.6620, 0.1385
72, 0.4722, -0.0513
73, 0.5342, 0.0107
74, 0.5270, 0.0035
75, 0.4933, -0.0302
76, 0.5921, 0.0686
77, 0.5974, 0.0739
78, 0.5897, 0.0662
79, 0.5190, -0.0045
80, 0.4000, -0.1235
81, 0.5926, 0.0691
82, 0.6341, 0.1106
83, 0.6024, 0.0789
84, 0.4881, -0.0354
85, 0.5647, 0.0412
86, 0.5581, 0.0346
87, 0.4828, -0.0407
88, 0.5341, 0.0106
89, 0.5281, 0.0046
90, 0.6556, 0.1321
91, 0.5714, 0.0479
92, 0.4565, -0.0670
93, 0.4516, -0.0719
94, 0.5532, 0.0297
95, 0.5053, -0.0182
96, 0.4688, -0.0547
97, 0.5876, 0.0641
98, 0.5102, -0.0133
99, 0.4949, -0.0286
100, 0.4600, -0.0635
101, 0.5446, 0.0211
102, 0.5588, 0.0353
103, 0.5534, 0.0299
104, 0.4712, -0.0523
105, 0.6381, 0.1146
106, 0.5189, -0.0046
107, 0.5047, -0.0188
108, 0.4907, -0.0328
109, 0.4495, -0.0740
110, 0.6273, 0.1038
111, 0.4775, -0.0460
112, 0.4821, -0.0414
113, 0.5133, -0.0102
114, 0.4474, -0.0761
115, 0.5391, 0.0156
116, 0.3793, -0.1442
117, 0.6154, 0.0919
118, 0.5085, -0.0150
119, 0.5378, 0.0143
120, 0.5333, 0.0098
121, 0.4793, -0.0442
122, 0.5082, -0.0153
123, 0.4878, -0.0357
124, 0.5806, 0.0571
125, 0.5120, -0.0115
126, 0.4841, -0.0394
127, 0.4488, -0.0747
128, 0.4922, -0.0313
129, 0.5116, -0.0119
130, 0.4462, -0.0773
131, 0.5496, 0.0261
132, 0.6061, 0.0826
133, 0.6015, 0.0780
134, 0.5149, -0.0086
135, 0.4370, -0.0865
136, 0.5515, 0.0280
137, 0.5620, 0.0385
138, 0.4203, -0.1032
139, 0.5755, 0.0520
140, 0.5071, -0.0164
141, 0.5319, 0.0084
142, 0.5282, 0.0047
143, 0.4895, -0.0340
144, 0.4722, -0.0513
145, 0.4552, -0.0683
146, 0.5137, -0.0098
147, 0.5034, -0.0201
148, 0.5338, 0.0103
149, 0.5638, 0.0403
150, 0.4933, -0.0302
151, 0.5563, 0.0328
152, 0.5395, 0.0160
153, 0.5490, 0.0255
154, 0.4935, -0.0300
155, 0.5226, -0.0009
156, 0.4744, -0.0491
157, 0.5032, -0.0203
158, 0.4114, -0.1121
159, 0.4969, -0.0266
160, 0.5375, 0.0140
161, 0.4658, -0.0577
162, 0.5494, 0.0259
163, 0.4785, -0.0450
164, 0.5122, -0.0113
165, 0.5152, -0.0083
166, 0.5120, -0.0115
167, 0.5808, 0.0573
168, 0.5060, -0.0175
169, 0.5503, 0.0268
170, 0.4882, -0.0353
171, 0.5497, 0.0262
172, 0.4942, -0.0293
173, 0.5318, 0.0083
174, 0.5575, 0.0340
175, 0.4857, -0.0378
176, 0.4432, -0.0803
177, 0.5706, 0.0471
178, 0.5393, 0.0158
179, 0.4972, -0.0263
180, 0.5000, -0.0235
181, 0.5525, 0.0290
182, 0.5110, -0.0125
183, 0.4645, -0.0590
184, 0.5272, 0.0037
185, 0.5189, -0.0046
186, 0.5215, -0.0020
187, 0.5241, 0.0006
188, 0.5372, 0.0137
189, 0.6032, 0.0797
190, 0.4684, -0.0551
191, 0.5288, 0.0053
192, 0.5104, -0.0131
193, 0.4508, -0.0727
194, 0.5155, -0.0080
195, 0.5641, 0.0406
196, 0.5612, 0.0377
197, 0.5584, 0.0349
198, 0.4747, -0.0488
199, 0.5528, 0.0293
200, 0.5450, 0.0215
201, 0.5274, 0.0039
202, 0.4505, -0.0730
203, 0.4975, -0.0260
204, 0.5245, 0.0010
205, 0.5220, -0.0015
206, 0.5680, 0.0445
207, 0.5169, -0.0066
208, 0.4519, -0.0716
209, 0.5167, -0.0068
210, 0.5381, 0.0146
211, 0.5450, 0.0215
212, 0.4858, -0.0377
213, 0.4883, -0.0352
214, 0.5093, -0.0142
215, 0.5116, -0.0119
216, 0.4676, -0.0559
217, 0.5668, 0.0433
218, 0.4908, -0.0327
219, 0.5160, -0.0075
220, 0.5773, 0.0538
221, 0.4661, -0.0574
222, 0.4910, -0.0325
223, 0.4888, -0.0347
224, 0.4955, -0.0280
225, 0.4711, -0.0524
226, 0.5354, 0.0119
227, 0.5154, -0.0081
228, 0.5219, -0.0016
229, 0.4934, -0.0301
230, 0.5087, -0.0148
231, 0.4978, -0.0257
232, 0.5302, 0.0067
233, 0.4635, -0.0600
234, 0.5171, -0.0064
235, 0.5234, -0.0001
236, 0.5805, 0.0570
237, 0.5148, -0.0087
238, 0.5756, 0.0521
239, 0.5146, -0.0089
240, 0.4542, -0.0693
241, 0.5062, -0.0173
242, 0.5000, -0.0235
243, 0.5185, -0.0050
244, 0.4754, -0.0481
245, 0.5061, -0.0174
246, 0.5081, -0.0154
247, 0.4980, -0.0255
248, 0.5202, -0.0033
249, 0.5020, -0.0215
250, 0.5200, -0.0035
251, 0.5179, -0.0056
252, 0.5278, 0.0043
253, 0.5455, 0.0220
254, 0.5394, 0.0159
255, 0.5608, 0.0373
256, 0.4844, -0.0391
257, 0.4981, -0.0254
258, 0.4845, -0.0390
259, 0.5405, 0.0170
260, 0.5077, -0.0158
261, 0.5556, 0.0321
262, 0.5229, -0.0006
263, 0.5057, -0.0178
264, 0.5189, -0.0046
265, 0.5660, 0.0425
266, 0.5038, -0.0197
267, 0.5131, -0.0104
268, 0.5000, -0.0235
269, 0.5465, 0.0230
270, 0.5815, 0.0580
271, 0.5092, -0.0143
272, 0.5294, 0.0059
273, 0.5238, 0.0003
274, 0.5474, 0.0239
275, 0.5309, 0.0074
276, 0.5362, 0.0127
277, 0.5271, 0.0036
278, 0.4820, -0.0415
279, 0.5018, -0.0217
280, 0.5464, 0.0229
281, 0.4911, -0.0324
282, 0.5461, 0.0226
283, 0.5336, 0.0101
284, 0.5458, 0.0223
285, 0.4772, -0.0463
286, 0.5315, 0.0080
287, 0.5052, -0.0183
288, 0.5278, 0.0043
289, 0.4740, -0.0495
290, 0.5483, 0.0248
291, 0.5498, 0.0263
292, 0.5651, 0.0416
293, 0.5563, 0.0328
294, 0.5170, -0.0065
295, 0.5153, -0.0082
296, 0.5304, 0.0069
297, 0.5185, -0.0050
298, 0.5134, -0.0101
299, 0.5485, 0.0250
300, 0.5467, 0.0232
301, 0.5249, 0.0014
302, 0.5232, -0.0003
303, 0.5050, -0.0185
304, 0.5230, -0.0005
305, 0.5770, 0.0535
306, 0.5229, -0.0006
307, 0.4919, -0.0316
308, 0.5390, 0.0155
309, 0.4822, -0.0413
310, 0.5097, -0.0138
311, 0.5305, 0.0070
312, 0.5641, 0.0406
313, 0.4760, -0.0475
314, 0.4682, -0.0553
315, 0.5651, 0.0416
316, 0.5411, 0.0176
317, 0.5331, 0.0096
318, 0.5126, -0.0109
319, 0.4639, -0.0596
320, 0.5406, 0.0171
321, 0.5202, -0.0033
322, 0.5155, -0.0080
323, 0.5325, 0.0090
324, 0.4907, -0.0328
325, 0.5262, 0.0027
326, 0.5613, 0.0378
327, 0.5168, -0.0067
328, 0.5396, 0.0161
329, 0.4650, -0.0585
330, 0.4970, -0.0265
331, 0.5076, -0.0159
332, 0.5964, 0.0729
333, 0.5135, -0.0100
334, 0.5808, 0.0573
335, 0.5672, 0.0437
336, 0.5476, 0.0241
337, 0.5193, -0.0042
338, 0.5030, -0.0205
339, 0.5516, 0.0281
340, 0.4941, -0.0294
341, 0.4340, -0.0895
342, 0.5351, 0.0116
343, 0.5598, 0.0363
344, 0.5116, -0.0119
345, 0.5362, 0.0127
346, 0.5145, -0.0090
347, 0.5504, 0.0269
348, 0.4713, -0.0522
349, 0.5072, -0.0163
350, 0.5514, 0.0279
351, 0.5783, 0.0548
352, 0.5398, 0.0163
353, 0.4788, -0.0447
354, 0.5000, -0.0235
355, 0.5380, 0.0145
356, 0.5534, 0.0299
357, 0.5126, -0.0109
358, 0.5000, -0.0235
359, 0.5348, 0.0113
360, 0.5778, 0.0543
361, 0.5402, 0.0167
362, 0.5221, -0.0014
363, 0.5096, -0.0139
364, 0.5247, 0.0012
365, 0.5260, 0.0025
366, 0.5765, 0.0530
367, 0.4850, -0.0385
368, 0.5190, -0.0045
369, 0.5285, 0.0050
370, 0.5270, 0.0035
371, 0.4933, -0.0302
372, 0.5565, 0.0330
373, 0.5174, -0.0061
374, 0.5615, 0.0380
375, 0.5253, 0.0018
376, 0.5824, 0.0589
377, 0.5146, -0.0089
378, 0.5423, 0.0188
379, 0.5488, 0.0253
380, 0.5053, -0.0182
381, 0.4908, -0.0327
382, 0.5262, 0.0027
383, 0.4752, -0.0483
384, 0.5521, 0.0286
385, 0.5455, 0.0220
386, 0.5492, 0.0257
387, 0.5039, -0.0196
388, 0.5335, 0.0100
389, 0.5193, -0.0042
390, 0.5359, 0.0124
391, 0.5192, -0.0043
392, 0.5306, 0.0071
393, 0.5242, 0.0007
394, 0.5305, 0.0070
395, 0.4709, -0.0526
396, 0.5253, 0.0018
397, 0.5088, -0.0147
398, 0.5603, 0.0368
399, 0.5138, -0.0097
400, 0.5125, -0.0110
401, 0.5162, -0.0073
402, 0.4950, -0.0285
403, 0.5310, 0.0075
404, 0.4629, -0.0606
405, 0.4889, -0.0346
406, 0.4951, -0.0284
407, 0.4742, -0.0493
408, 0.5000, -0.0235
409, 0.5134, -0.0101
410, 0.5171, -0.0064
411, 0.5207, -0.0028
412, 0.5146, -0.0089
413, 0.5182, -0.0053
414, 0.5048, -0.0187
415, 0.5494, 0.0259
416, 0.5673, 0.0438
417, 0.4964, -0.0271
418, 0.4856, -0.0379
419, 0.5322, 0.0087
420, 0.4833, -0.0402
421, 0.5202, -0.0033
422, 0.5521, 0.0286
423, 0.5012, -0.0223
424, 0.5094, -0.0141
425, 0.4965, -0.0270
426, 0.5540, 0.0305
427, 0.5129, -0.0106
428, 0.4883, -0.0352
429, 0.5105, -0.0130
430, 0.5186, -0.0049
431, 0.5545, 0.0310
432, 0.5139, -0.0096
433, 0.5404, 0.0169
434, 0.5323, 0.0088
435, 0.4920, -0.0315
436, 0.5183, -0.0052
437, 0.5011, -0.0224
438, 0.5297, 0.0062
439, 0.5467, 0.0232
440, 0.5295, 0.0060
441, 0.5329, 0.0094
442, 0.5339, 0.0104
443, 0.5576, 0.0341
444, 0.4932, -0.0303
445, 0.5303, 0.0068
446, 0.5314, 0.0079
447, 0.5190, -0.0045
448, 0.5268, 0.0033
449, 0.5078, -0.0157
450, 0.4800, -0.0435
451, 0.5432, 0.0197
452, 0.5133, -0.0102
453, 0.5320, 0.0085
454, 0.4978, -0.0257
455, 0.5099, -0.0136
456, 0.4737, -0.0498
457, 0.5164, -0.0071
458, 0.5000, -0.0235
459, 0.5054, -0.0181
460, 0.5130, -0.0105
461, 0.5466, 0.0231
462, 0.5087, -0.0148
463, 0.4838, -0.0397
464, 0.5108, -0.0127
465, 0.5355, 0.0120
466, 0.5021, -0.0214
467, 0.5375, 0.0140
468, 0.4850, -0.0385
469, 0.5096, -0.0139
470, 0.5340, 0.0105
471, 0.5372, 0.0137
472, 0.5106, -0.0129
473, 0.5391, 0.0156
474, 0.4958, -0.0277
475, 0.5326, 0.0091
476, 0.5168, -0.0067
477, 0.5241, 0.0006
478, 0.5377, 0.0142
479, 0.5219, -0.0016
480, 0.5271, 0.0036
481, 0.5198, -0.0037
482, 0.5124, -0.0111
483, 0.5321, 0.0086
484, 0.5124, -0.0111
485, 0.5072, -0.0163
486, 0.5247, 0.0012
487, 0.5154, -0.0081
488, 0.5266, 0.0031
489, 0.5746, 0.0511
490, 0.5245, 0.0010
491, 0.4969, -0.0266
492, 0.5447, 0.0212
493, 0.5132, -0.0103
494, 0.5061, -0.0174
495, 0.5414, 0.0179
496, 0.5706, 0.0471
497, 0.5272, 0.0037
498, 0.5281, 0.0046
499, 0.5110, -0.0125
500, 0.5080, -0.0155
501, 0.5269, 0.0034
502, 0.5319, 0.0084
503, 0.4911, -0.0324
504, 0.5635, 0.0400
505, 0.5208, -0.0027
506, 0.5178, -0.0057
507, 0.5010, -0.0225
508, 0.4705, -0.0530
509, 0.5383, 0.0148
510, 0.5490, 0.0255
511, 0.5245, 0.0010
512, 0.4941, -0.0294
513, 0.5185, -0.0050
514, 0.5331, 0.0096
515, 0.4835, -0.0400
516, 0.5019, -0.0216
517, 0.5145, -0.0090
518, 0.4961, -0.0274
519, 0.5318, 0.0083
520, 0.5038, -0.0197
521, 0.5010, -0.0225
522, 0.5115, -0.0120
523, 0.5277, 0.0042
524, 0.5153, -0.0082
525, 0.5162, -0.0073
526, 0.5456, 0.0221
527, 0.5522, 0.0287
528, 0.5057, -0.0178
529, 0.4839, -0.0396
530, 0.5717, 0.0482
531, 0.5556, 0.0321
532, 0.5470, 0.0235
533, 0.5253, 0.0018
534, 0.5318, 0.0083
535, 0.5346, 0.0111
536, 0.5261, 0.0026
537, 0.5866, 0.0631
538, 0.5446, 0.0211
539, 0.5622, 0.0387
540, 0.5074, -0.0161
541, 0.5157, -0.0078
542, 0.5074, -0.0161
543, 0.4972, -0.0263
544, 0.5570, 0.0335
545, 0.5266, 0.0031
546, 0.5000, -0.0235
547, 0.4954, -0.0281
548, 0.5255, 0.0020
549, 0.5027, -0.0208
550, 0.4982, -0.0253
551, 0.4864, -0.0371
552, 0.5217, -0.0018
553, 0.5298, 0.0063
554, 0.5181, -0.0054
555, 0.5135, -0.0100
556, 0.5198, -0.0037
557, 0.5242, 0.0007
558, 0.5233, -0.0002
559, 0.5027, -0.0208
560, 0.5571, 0.0336
561, 0.5080, -0.0155
562, 0.5338, 0.0103
563, 0.5453, 0.0218
564, 0.5390, 0.0155
565, 0.5522, 0.0287
566, 0.5265, 0.0030
567, 0.5044, -0.0191
568, 0.5246, 0.0011
569, 0.5220, -0.0015
570, 0.5456, 0.0221
571, 0.5657, 0.0422
572, 0.5350, 0.0115
573, 0.5410, 0.0175
574, 0.5331, 0.0096
575, 0.5496, 0.0261
576, 0.5278, 0.0043
577, 0.4974, -0.0261
578, 0.5484, 0.0249
579, 0.5302, 0.0067
580, 0.5276, 0.0041
581, 0.5439, 0.0204
582, 0.5137, -0.0098
583, 0.5660, 0.0425
584, 0.5377, 0.0142
585, 0.5145, -0.0090
586, 0.5375, 0.0140
587, 0.4923, -0.0312
588, 0.5102, -0.0133
589, 0.4890, -0.0345
590, 0.5305, 0.0070
591, 0.5262, 0.0027
592, 0.5456, 0.0221
593, 0.5312, 0.0077
594, 0.4882, -0.0353
595, 0.5261, 0.0026
596, 0.5537, 0.0302
597, 0.4908, -0.0327
598, 0.5301, 0.0066
599, 0.5042, -0.0193
600, 0.4967, -0.0268
601, 0.5092, -0.0143
602, 0.4983, -0.0252
603, 0.5323, 0.0088
604, 0.5348, 0.0113
605, 0.5256, 0.0021
606, 0.4983, -0.0252
607, 0.5305, 0.0070
608, 0.5099, -0.0136
609, 0.5599, 0.0364
610, 0.5393, 0.0158
611, 0.5237, 0.0002
612, 0.5458, 0.0223
613, 0.5498, 0.0263
614, 0.5179, -0.0056
615, 0.4992, -0.0243
616, 0.5097, -0.0138
617, 0.5267, 0.0032
618, 0.5259, 0.0024
619, 0.5089, -0.0146
620, 0.5371, 0.0136
621, 0.5507, 0.0272
622, 0.5145, -0.0090
623, 0.4623, -0.0612
624, 0.5577, 0.0342
625, 0.5472, 0.0237
626, 0.5112, -0.0123
627, 0.5152, -0.0083
628, 0.5111, -0.0124
629, 0.5262, 0.0027
630, 0.5333, 0.0098
631, 0.5452, 0.0217
632, 0.5491, 0.0256
633, 0.5466, 0.0231
634, 0.5410, 0.0175
635, 0.5087, -0.0148
636, 0.5283, 0.0048
637, 0.5133, -0.0102
638, 0.5188, -0.0047
639, 0.5180, -0.0055
640, 0.5156, -0.0079
641, 0.4852, -0.0383
642, 0.5296, 0.0061
643, 0.4806, -0.0429
644, 0.5155, -0.0080
645, 0.5225, -0.0010
646, 0.5108, -0.0127
647, 0.5193, -0.0042
648, 0.5401, 0.0166
649, 0.5424, 0.0189
650, 0.5462, 0.0227
651, 0.5146, -0.0089
652, 0.5000, -0.0235
653, 0.5237, 0.0002
654, 0.5168, -0.0067
655, 0.5191, -0.0044
656, 0.5442, 0.0207
657, 0.5525, 0.0290
658, 0.5395, 0.0160
659, 0.5190, -0.0045
660, 0.5212, -0.0023
661, 0.5098, -0.0137
662, 0.5121, -0.0114
663, 0.5279, 0.0044
664, 0.5467, 0.0232
665, 0.5068, -0.0167
666, 0.5616, 0.0381
667, 0.5277, 0.0042
668, 0.5195, -0.0040
669, 0.5546, 0.0311
670, 0.5284, 0.0049
671, 0.5395, 0.0160
672, 0.5312, 0.0078
673, 0.5111, -0.0124
674, 0.5356, 0.0121
675, 0.5422, 0.0187
676, 0.4867, -0.0368
677, 0.5111, -0.0124
678, 0.5619, 0.0384
679, 0.5243, 0.0008
680, 0.5132, -0.0103
681, 0.5272, 0.0037
682, 0.5279, 0.0044
683, 0.4832, -0.0403
684, 0.5336, 0.0101
685, 0.5620, 0.0385
686, 0.5437, 0.0202
687, 0.5269, 0.0034
688, 0.5174, -0.0061
689, 0.5385, 0.0150
690, 0.5130, -0.0105
691, 0.5152, -0.0083
692, 0.5405, 0.0170
693, 0.4993, -0.0242
694, 0.4885, -0.0350
695, 0.5482, 0.0247
696, 0.5230, -0.0005
697, 0.5194, -0.0041
698, 0.5444, 0.0209
699, 0.4993, -0.0242
700, 0.5300, 0.0065
701, 0.5050, -0.0185
702, 0.5185, -0.0050
703, 0.5292, 0.0057
704, 0.5028, -0.0207
705, 0.5348, 0.0113
706, 0.5212, -0.0023
707, 0.5290, 0.0055
708, 0.5085, -0.0150
709, 0.5176, -0.0059
710, 0.5268, 0.0033
711, 0.5007, -0.0228
712, 0.5379, 0.0144
713, 0.4642, -0.0593
714, 0.5448, 0.0213
715, 0.5147, -0.0088
716, 0.5307, 0.0072
717, 0.5467, 0.0232
718, 0.5223, -0.0012
719, 0.5090, -0.0145
720, 0.4972, -0.0263
721, 0.5270, 0.0035
722, 0.4903, -0.0332
723, 0.5297, 0.0062
724, 0.5069, -0.0166
725, 0.5517, 0.0282
726, 0.4904, -0.0331
727, 0.5172, -0.0063
728, 0.5357, 0.0122
729, 0.5130, -0.0105
730, 0.5438, 0.0203
731, 0.5089, -0.0146
732, 0.5287, 0.0052
733, 0.5143, -0.0092
734, 0.5436, 0.0201
735, 0.5156, -0.0079
736, 0.5245, 0.0010
737, 0.5129, -0.0106
738, 0.5257, 0.0022
739, 0.5386, 0.0151
740, 0.4946, -0.0289
741, 0.5425, 0.0190
742, 0.5404, 0.0169
743, 0.5559, 0.0324
744, 0.5013, -0.0222
745, 0.5329, 0.0094
746, 0.5255, 0.0020
747, 0.5127, -0.0108
748, 0.5307, 0.0072
749, 0.5180, -0.0055
750, 0.5040, -0.0195
751, 0.5486, 0.0251
752, 0.5093, -0.0142
753, 0.5432, 0.0197
754, 0.5637, 0.0402
755, 0.5457, 0.0222
756, 0.5278, 0.0043
757, 0.5680, 0.0445
758, 0.5317, 0.0082
759, 0.5204, -0.0031
760, 0.5355, 0.0120
761, 0.5572, 0.0337
762, 0.5026, -0.0209
763, 0.5085, -0.0150
764, 0.5131, -0.0104
765, 0.5582, 0.0347
766, 0.5261, 0.0026
767, 0.5346, 0.0111
768, 0.5182, -0.0053
769, 0.5540, 0.0305
770, 0.5221, -0.0014
771, 0.5266, 0.0031
772, 0.5065, -0.0170
773, 0.5097, -0.0138
774, 0.5142, -0.0093
775, 0.5084, -0.0151
776, 0.4858, -0.0377
777, 0.5328, 0.0093
778, 0.5476, 0.0241
779, 0.5045, -0.0190
780, 0.5154, -0.0081
781, 0.5262, 0.0027
782, 0.5217, -0.0018
783, 0.5160, -0.0075
784, 0.5140, -0.0095
785, 0.5541, 0.0306
786, 0.5369, 0.0134
787, 0.5311, 0.0076
788, 0.5254, 0.0019
789, 0.5006, -0.0229
790, 0.5291, 0.0056
791, 0.5158, -0.0077
792, 0.4924, -0.0311
793, 0.5536, 0.0301
794, 0.5139, -0.0096
795, 0.5157, -0.0078
796, 0.5151, -0.0084
797, 0.5082, -0.0153
798, 0.5326, 0.0091
799, 0.4894, -0.0341
800, 0.5450, 0.0215
801, 0.5456, 0.0221
802, 0.5374, 0.0139
803, 0.5106, -0.0129
804, 0.5299, 0.0064
805, 0.5379, 0.0144
806, 0.5385, 0.0150
807, 0.5068, -0.0167
808, 0.5507, 0.0272
809, 0.4895, -0.0340
810, 0.5272, 0.0037
811, 0.5339, 0.0104
